"pointid","xcoord","ycoord"
1,455983.5,4498860.5
2,456189.5,4499026.5
3,454243.5,4498927.5
4,454250.5,4498989.5
5,455180.5,4499747.5
6,455228.5,4499980.5
7,455267.5,4500203.5
8,455410.5,4500355.5
9,455500.5,4500560.5
10,455507.5,4500604.5
11,456044.5,4500798.5
12,456062.5,4500784.5
13,456190.5,4500851.5
14,453906.5,4498950.5
15,454016.5,4499039.5
16,453298.444737678,4499116.41773078
17,456166.5,4499298.5
18,456190.5,4499308.5
19,452647.194176915,4499624.04297541
20,453245.5,4499866.5
21,453469.5,4500088.5
22,454698.5,4500706.5
23,454990.5,4500551.5
24,452592.5,4501254.5
25,452763.5,4501267.5
26,452945.5,4501245.5
27,453254.5,4501344.5
28,453422.5,4501300.5
29,453487.5,4501061.5
30,454293.5,4500920.5
31,454367.5,4500905.5
32,453999.910164609,4499553.46447688
33,454486.5,4499946.5
34,454468.5,4499946.5
35,453597.5,4499968.5
36,455344.5,4499973.5
37,455244.5,4500082.5
38,452105.321005131,4499897.02363804
39,452269.5,4500242.5
40,452278.5,4500446.5
41,452198.5,4500592.5
42,452274.5,4500207.5
43,451726.5,4500271.5
44,455592.5,4500278.5
45,452970.929650505,4500248.91337606
46,454239.5,4500901.5
47,452769.83878092,4500231.71227751
48,455914.5,4500707.5
49,455738.5,4501352.5
