"rid","fromnode","tonode"
1,1,2
2,3,1
3,4,3
4,5,1
5,6,3
6,7,6
7,8,5
8,9,10
9,10,11
10,12,11
11,11,13
12,14,15
13,16,13
14,17,15
15,13,18
16,18,17
17,19,6
18,20,8
19,21,19
20,22,8
21,15,19
22,23,20
23,24,5
24,25,20
25,26,27
26,28,27
27,29,18
28,30,29
29,31,29
30,32,33
31,34,31
32,35,33
33,36,30
34,37,31
35,33,38
36,39,10
37,40,41
38,42,41
39,41,43
40,44,43
41,43,32
42,45,32
43,46,47
44,48,49
45,49,47
46,50,51
47,52,51
48,53,54
49,51,54
50,54,55
51,56,55
52,57,56
53,55,58
54,59,56
55,60,58
56,61,62
57,62,37
58,63,61
59,38,37
60,64,62
61,47,38
62,65,64
63,66,65
64,67,65
65,68,66
66,69,49
67,70,69
68,71,69
69,58,70
70,72,71
71,73,70
72,74,73
73,75,73
74,76,71
75,77,76
76,78,64
77,79,66
78,80,78
79,81,80
80,82,80
81,83,82
82,84,82
83,85,78
84,86,84
85,87,84
86,88,75
87,89,90
88,91,92
89,90,92
90,93,90
91,94,95
92,96,93
93,95,96
94,97,96
95,98,97
96,99,76
97,92,75
98,100,91
99,101,91
100,102,93
101,103,104
102,105,106
103,104,105
104,107,105
105,108,109
106,110,85
107,111,85
108,112,113
109,113,114
110,114,115
111,115,111
112,116,115
113,117,111
114,118,104
115,119,120
116,121,97
117,122,123
118,124,121
119,125,121
120,123,125
121,126,123
122,127,125
123,128,126
124,106,127
125,129,106
126,130,131
127,132,131
128,131,126
129,133,134
130,135,134
131,134,128
132,136,128
133,137,136
134,138,137
135,139,137
136,27,17
137,140,30
138,141,140
139,142,141
140,143,61
141,144,141
142,145,143
143,146,140
144,147,143
145,148,147
146,149,147
147,150,149
148,151,149
149,152,151
150,153,152
151,154,152
152,155,151
153,156,155
154,157,158
155,159,158
156,158,160
157,160,52
158,161,160
159,162,52
160,163,164
161,165,164
162,164,57
163,166,57
164,167,159
165,168,159
166,169,168
167,170,168
168,171,170
169,172,173
170,174,173
171,175,176
172,173,176
173,177,178
174,179,180
175,181,180
176,180,182
177,182,170
178,183,182
179,184,183
180,185,183
181,186,187
182,188,189
183,189,190
184,176,178
185,178,191
186,187,191
187,190,187
188,192,193
189,191,193
190,193,194
191,194,195
192,196,194
193,197,198
194,199,189
195,200,199
196,201,199
197,202,190
198,203,204
199,205,204
200,204,206
201,207,208
202,209,210
203,210,206
204,211,195
205,195,212
206,213,212
207,212,214
208,215,216
209,214,216
210,198,214
211,216,95
212,217,122
213,218,122
214,206,208
215,219,210
216,208,220
217,221,222
218,223,224
219,225,224
220,222,226
221,224,227
222,228,226
223,226,227
224,229,198
225,230,220
226,220,231
227,232,231
228,231,233
229,234,233
230,233,235
231,236,237
232,238,235
233,237,238
234,239,240
235,241,222
236,242,240
237,240,228
238,243,228
239,244,245
240,246,245
241,245,247
242,248,249
243,250,248
244,227,251
245,252,251
246,251,236
247,253,236
248,254,255
249,256,257
250,255,256
251,258,256
252,259,258
253,260,247
254,261,113
255,262,114
256,263,155
257,264,116
258,265,116
259,266,265
260,267,265
261,268,267
262,269,267
263,270,269
264,271,269
265,272,271
266,273,271
267,274,273
268,275,273
269,276,277
270,277,278
271,279,277
272,280,281
273,282,283
274,284,281
275,281,285
276,286,287
277,288,289
278,290,285
279,289,287
280,291,289
281,292,293
282,285,293
283,293,294
284,295,294
285,296,297
286,294,297
287,298,299
288,300,301
289,302,299
290,299,301
291,297,303
292,301,304
293,305,303
294,303,304
295,304,306
296,307,308
297,309,308
298,310,309
299,311,312
300,312,309
301,313,306
302,306,312
303,314,315
304,316,315
305,317,120
306,120,318
307,319,318
308,320,321
309,322,320
310,323,320
311,324,325
312,278,325
313,326,278
314,325,327
315,328,136
316,235,139
317,329,139
318,330,331
319,331,332
320,333,331
321,334,332
322,335,336
323,337,334
324,338,334
325,339,127
326,340,341
327,341,330
328,342,330
329,343,342
330,344,342
331,345,344
332,346,344
333,347,348
334,349,350
335,351,352
336,318,352
337,353,109
338,321,353
339,352,321
340,354,353
341,109,341
342,355,343
343,327,343
344,356,345
345,357,345
346,358,359
347,360,361
348,362,363
349,359,364
350,361,359
351,365,361
352,366,364
353,363,365
354,367,368
355,369,327
356,370,369
357,371,369
358,372,283
359,283,373
360,287,373
361,373,374
362,375,374
363,376,377
364,308,377
365,378,350
366,379,348
367,350,379
368,348,380
369,381,382
370,380,382
371,383,380
372,368,379
373,364,368
374,384,385
375,386,387
376,382,388
377,387,389
378,390,388
379,388,387
380,391,389
381,392,390
382,385,390
383,393,392
384,394,392
385,395,363
386,374,395
387,396,365
388,377,395
389,397,398
390,399,400
391,401,400
392,402,398
393,398,403
394,400,404
395,405,385
396,406,407
397,408,407
398,407,404
399,409,410
400,411,410
401,410,412
402,413,412
403,412,414
404,415,416
405,417,238
406,257,237
407,418,257
408,419,329
409,336,329
410,332,336
411,420,335
412,421,335
413,422,423
414,424,423
415,249,255
416,425,258
417,247,249
418,426,259
419,427,259
420,428,427
421,429,427
422,430,431
423,432,431
424,433,434
425,435,421
426,423,421
427,436,435
428,437,435
429,389,436
430,438,439
431,439,437
432,440,439
433,441,437
434,442,441
435,443,248
436,444,443
437,445,443
438,446,447
439,448,447
440,447,449
441,450,449
442,451,452
443,453,452
444,431,434
445,454,455
446,434,456
447,457,458
448,459,460
449,449,458
450,461,460
451,458,462
452,462,461
453,463,462
454,456,441
455,464,436
456,455,456
457,460,455
458,465,466
459,466,467
460,467,464
461,468,464
462,469,467
463,470,468
464,471,465
465,472,465
466,473,466
467,474,469
468,475,474
469,476,474
470,477,475
471,478,475
472,479,478
473,480,478
474,481,451
475,482,481
476,483,481
477,484,453
478,485,451
479,486,453
480,487,483
481,488,483
482,489,486
483,490,486
484,491,468
485,492,469
486,493,494
487,495,494
488,494,496
489,497,498
490,499,500
491,500,496
492,501,502
493,498,500
494,452,463
495,503,463
496,504,461
497,505,502
498,506,507
499,508,509
500,510,511
501,512,511
502,511,513
503,514,513
504,515,505
505,516,515
506,507,498
507,502,507
508,517,518
509,519,520
510,521,509
511,509,522
512,523,522
513,522,524
514,513,524
515,525,526
516,527,515
517,528,505
518,529,514
519,530,514
520,531,532
521,533,534
522,534,532
523,535,534
524,532,525
525,536,537
526,538,537
527,537,525
528,539,540
529,540,538
530,541,540
531,542,541
532,543,538
533,544,541
534,545,544
535,546,544
536,547,526
537,548,549
538,550,551
539,552,553
540,554,551
541,553,554
542,555,554
543,556,555
544,557,558
545,559,560
546,561,562
547,563,564
548,564,562
549,565,564
550,562,566
551,567,566
552,566,568
553,569,568
554,570,571
555,572,547
556,573,547
557,574,550
558,575,550
559,576,577
560,577,553
561,571,577
562,578,555
563,579,580
564,580,578
565,568,571
566,581,582
567,583,582
568,582,578
569,584,580
570,315,585
571,586,403
572,404,587
573,403,585
574,588,587
575,585,589
576,587,589
577,589,413
578,590,413
579,591,415
580,592,414
581,593,594
582,594,592
583,595,594
584,596,592
585,597,595
586,598,595
587,599,596
588,600,599
589,601,476
590,416,479
591,602,479
592,414,476
593,603,416
594,518,415
595,496,518
596,604,605
597,605,599
598,606,520
599,607,608
600,608,597
601,609,608
602,610,597
603,611,610
604,612,610
605,613,596
606,614,613
607,615,613
608,616,614
609,617,615
610,618,615
611,619,614
612,620,618
613,621,620
614,622,620
615,520,605
616,623,624
617,524,624
618,624,619
619,625,619
620,526,625
621,549,625
622,626,618
623,627,549
624,628,627
625,629,622
626,630,622
627,631,632
628,633,632
629,634,633
630,635,636
631,637,633
632,638,635
633,639,635
634,640,627
635,641,640
636,551,640
637,642,626
638,643,626
639,636,643
640,632,636
641,558,643
642,560,558
643,644,560
