"loocv_predictions","se_fit","response_obs_values"
0.0914716345718991,1.23563338460254,0.0300470991248693
0.119154172552665,1.07710533447046,0.0379784100146347
0.162425148185705,0.957469619437787,0.0344127144074233
0.0746996844412957,0.966261650795837,0.0670612068137851
0.204868953878945,1.18531277847811,0.100639744227831
0.214240057105294,0.912859268686753,2.10232731226508
0.996041421275114,0.901959051369225,0.516816663605805
0.554223127832427,0.946264032233811,1.09498559819153
0.457577289484516,0.84891797994524,0.718075550518359
0.985068827016724,0.862934205764216,0.245009209363834
0.736593915377822,0.875675502575092,0.807226536076468
0.879638972068458,0.897771365031809,0.516827403162716
0.452195586130555,0.933927225907944,0.84947032553073
0.60798777116384,0.895814001433658,1.63182242497473
0.631293597608158,0.926679893569694,0.868711247752256
0.541803507365265,0.870823236224073,0.732816455151882
1.11373887796514,0.959798343762731,0.276703064254314
0.602907635964861,0.998221178006266,0.345592257563728
0.265356816915529,0.904966920343079,1.1788413945713
0.259689084390557,0.889416947375983,0.103404497661718
0.111994781054536,0.96503424094459,0.512183038941836
0.22722931607082,1.22278194487795,0.505007595731034
0.331617047507053,0.892938971897638,1.25812268419403
0.450500332700064,0.893085270853589,0.184070461005342
0.445699632752013,0.917563768809049,0.264648188968323
0.381333247007437,0.887260433733639,0.480339352574162
0.244692905937933,0.891424137885428,0.314715297037588
0.418069252472119,0.85938426620888,0.213108510619629
0.153942299645785,0.865080750390402,0.495721969489763
0.382332775217482,0.873005767714321,0.0751276617719402
0.21530761987867,0.962121976960834,0.332209293956494
0.599175821841387,0.948184558915378,0.959274677973659
0.120955366362436,1.21123306842109,0.640109318235182
0.589875554344643,0.875810051204081,0.494450489122306
0.625705879467219,0.862185007666645,0.282770323842344
0.341482460795925,0.888314204372883,1.03596087953458
0.159335555692807,0.960138008756228,0.353069099295716
0.72401471567358,1.11754574841622,0.0934763776094839
0.372632871482084,0.91327181620492,0.248855468102998
0.237655244699445,0.944728669202054,0.326919370172763
0.382649939096004,1.30198476151794,0.131707635833974
0.314047263913433,0.881757387580738,0.310584146512315
0.416414189771723,0.934915617867161,0.391320891821313
0.404456801215925,0.931950205232939,0.472439081307092
0.737483564911673,0.943456924411348,0.629240409288861
